stationid,name,longitude,latitude ,free_bikes,empty_slots,total_bikes
3557bec6e2c20690d2c912e713edad35,Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),-73.63767206668854,45.59398503487043,1,20,21
e287c24d95d9f0e3767d167d83ecebcd,Omer-Lavallée / du Midway,-73.56217458844185,45.5457759528664,4,13,17
4cb50bc7e3ed79928cef296e135b1e84,Parc Noel-Nord (Toupin / Keller),-73.72661411762238,45.51758306374252,9,10,19
a44871a432bc65d33bfb1ed04dab02ca,Parc du Bois-Franc (de l'Équateur / des Andes),-73.71306091547012,45.51317758246596,12,7,19
7b71605bd83572e8804e860f434f1055,Parc Grovehill (St-Antoine / Ivan-Franko),-73.69487822055817,45.43982382100397,6,9,15
10a32e00bc65e9fb33eef10d6e3e75e9,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),-73.5579303,45.6027276,7,4,11
79817ddade43d27901df8f29feaebc39,Aréna Chaumont (Chaumont / des Ormeaux),-73.54673445224762,45.610926628992026,2,17,19
a75f61cc35fc749366c8e6ef816fb8a0,Parc Chamberland (Dorais / de l'Église),-73.689113,45.502989,10,8,18
abd3530a2acf6d587950005b613d40cb,Parc Summerlea (53e avenue / St-Joseph),-73.71546685695648,45.43836713933041,7,7,14
b77888871c6837a551022c5c739042ac,Parc Kirkland (des Érables / Boyer),-73.65079946815968,45.44606092178209,9,3,12
5782e71fd4ba8263a67de59b093dc320,William / Robert-Bourassa,-73.55933010578154,45.49716534003792,9,12,21
d8bf2d80c73cf09dbfd6b7f76d063424,Quai de la navette fluviale,-73.53842496871948,45.51366626207095,18,1,19
3755aa41dfb2645a68edfb70314c37aa,St-Antoine / de la Montagne,-73.56858909130096,45.49537171535007,4,12,16
d0fc3a82ee0af511ffda9618f1263b84,Lapierre / Serge,-73.62021625041962,45.43854405099729,5,8,13
efd89dd6cc7db7e7ea67a4ccb75372a1,Parc St-Louis (St-Joseph / 34e avenue),-73.69349151849747,45.432839840726125,17,10,27
4e1cd6aa776d6e4078886c39f454b29f,Victoria / 18e avenue Lachine,-73.6801904439926,45.43579350588776,11,4,15
b8f7511a3ee32662a6ba22c8755de67b,LaSalle / 80e avenue,-73.63751649856567,45.4157471675921,8,15,23
c4254aa4deff8ae33aab572958ee2f00,LaSalle / 37e avenue,-73.61291594803333,45.41631023854958,7,15,22
d9fdeeb4d94f016bff5cd776466d6a30,Métro Jolicoeur (de Sève / Drake),-73.58193710446358,45.45608545783109,3,15,18
ab865ab695ca69089498736e6bac9a16,Duchesneau / de Marseille,-73.52273898082785,45.60962627826218,7,18,25
36062f17a7454e3f40f96283ff611cf5,CCI Outremont (Dollard / Durcharme),-73.61890733242035,45.520019102391636,2,13,15
a0166a9345b73dbd0b09f883e665a8f8,Papineau / Émile-Journault,-73.63356828689575,45.55988367688166,12,23,35
c91d47b7a498fe1a3016800f0678f419,LaSalle / Godin,-73.57219934463501,45.44693448484644,22,5,27
ab65f5f1207275299c5d897fa65e1347,Parc Delorme (Malouin / Laferté),-73.5902694,45.5904902,5,13,18
f95ae94bbf8d2dd56d009f8bbf21044a,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),-73.60258877277374,45.57940569041942,12,0,12
b43e650c8729a68e3a7858fbfbe57cbf,Parc Beaulac (rue Élizabeth),-73.67795147001743,45.5200557245067,13,2,15
5b9ad55443ed6b09dfdee5336b56b41b,Parc St-Laurent (Dutrisac),-73.68911147117615,45.52591381815231,6,13,19
bfc27d829d7ce8c0f9e55b1cab901cbb,CHSLD St-Michel (8e avenue / Jarry),-73.610512,45.5616903,2,12,14
cf8b3b1e14a33a9204cbf9e889a7b613,Georges-Vanier / Notre-Dame,-73.5719633102417,45.485047979822774,9,7,16
ab80e2f4c922bcac89121cb2d46a0ee4,Travaux publics LaSalle (Cordner / Léger),-73.62448364496231,45.44527192876118,9,6,15
ac023980748426fdbb7ea233b5043dc6,Parc de Dieppe,-73.5439610481262,45.501863463435576,5,29,34
a2da7f5b772dab9f756348a7f21c1984,Terminus Newman (Airlie / Lafleur),-73.64959917962551,45.425059666150744,3,15,18
354aed0dea1ad39805c4b2cdd6d2e9ec,Parc Ivan-Franko (33e avenue / Victoria),-73.69353175163269,45.43745998781385,1,14,15
b8a4edfa2cba7f5520400707a123ec74,Parc Highlands (Highlands / LaSalle),-73.65741580724716,45.42612352042827,17,10,27
4e0a2eec48ee705304b2799cff6fc240,Newman / Senkus,-73.61375212669373,45.44404309237571,6,12,18
fc4597100fabd406f272f69eba793b4a,St-Urbain / René-Lévesque,-73.56313616037369,45.507837541505836,31,1,32
8ae106c7b71f9c4a8f753c79cbe1603f,de Maisonneuve / Aylmer (est),-73.5704317688942,45.50538591756765,18,2,20
7214c61eb7f8d875d6db8db935ad16ea,Smith / Peel,-73.55641052126883,45.49276061084002,9,8,17
918f32736e8c298b4c7a5a58f6e46da5,de la Commune / King,-73.55284452438353,45.49750375338383,2,63,65
0a3aa715457ea0c777ddd396228eafd1,de la Commune / Place Jacques-Cartier,-73.55183601379395,45.50761009451047,23,50,73
d5193bc68b01855a79fd8c694ef2e2f9,de la Commune / St-Sulpice,-73.553469479084,45.50424245563397,36,5,41
1ff33fd73e2add3c30fcd821850dccd3,Chabanel / du Parc,-73.6548838019371,45.53830765459552,3,27,30
31c3024050ee6f3e44c85eceae251db1,Ottawa / William,-73.56406286358833,45.48972725318433,7,6,13
3f155bd80f721e2f372821f3a7b08512,de la Commune / Berri,-73.54983,45.51086,27,20,47
c3e33911cfd4f366ea6d4284fd5eb057,Berlioz / de l'Île des Soeurs,-73.54395568370819,45.45998577640931,13,10,23
517a5c37755499a8e454d67bcf6b1834,Parc Benny (Benny / de Monkland),-73.63153114914894,45.46693565237702,3,20,23
508a89286045d9bc7e8188522a328f63,de Maisonneuve / Mansfield (nord),-73.57333794236183,45.502386079583346,1,17,18
352adb5a53498de53161649383b7d10f,Cégep André-Laurendeau (Lapierre),-73.60577523708344,45.43605512104547,3,26,29
41f8b2e49339317de23ae563e66fe4a6,Métro Henri-Bourassa (Henri-Bourassa / Millen),-73.66716161370277,45.55675103297278,4,11,15
27c3a4c2a383dbf1d00a15f12f424b09,Dixie / 54e avenue,-73.71789157390594,45.44338026469991,4,15,19
da5f7ede0484d9eb36444471bdba6827,LaSalle / 90e avenue,-73.64518761634827,45.41774583815495,11,3,14
87bf1cff2cd651ba546aa04cfd5885c7,Métro de la Concorde (Léo-Lacombe),-73.7091851234436,45.5604898518365,2,17,19
2501128835e132f929d56798aa789839,Calixa-Lavallée / Rachel,-73.5719096660614,45.527831544563064,11,18,29
815c7df219d6937348c91d460fd1ff44,Parc du Mail (Bois de Coulonges / du Mail),-73.54596734046936,45.59833498124187,0,15,15
00c210cb99cf9d1b923c1548938aee56,Marché Jean-Talon (Casgrain / Shamrock),-73.61548215150833,45.53519006163501,16,9,25
d91563f1329dacd26318b07d7242afdf,HEC (Decelles / Jean-Brillant),-73.61925333738327,45.497722829899764,2,19,21
f9bb106633ce38eeec6728faed3155ad,Fabrik8 (Waverly / Jean-Talon),-73.62082242965698,45.53330725719417,3,12,15
bab144d31daa205b40397f6c7b46930a,Parc Courbertin (Valéry / Perrier),-73.60809333622456,45.5839877335556,2,11,13
b8d3de5b902c4b274f7fffee62009ef9,Parc Hébert (Colbert / Provencher),-73.59370462596415,45.57237805962001,4,11,15
a1ded48e42e6fb03da399602be3aab17,Parc Garibaldi (Liénart / Bélanger),-73.570396900177,45.586476480180046,9,5,14
cabbcb2310a23cb9394df1d78a9b0fc2,Parc Aimé-Léonard (Gouin / Ste-Gertrude),-73.63850623369217,45.60835820969716,7,10,17
33a2455e6803dd9aa77a4090dfae83f8,Parc Charleroi (Alfred / Louis-Francoeur),-73.62360253930092,45.59953472156509,4,10,14
8b16cd408c6adee5f72d6e5d91bc2b9d,Parc Maurice-Bélanger (Hébert / Denommée),-73.63171823322773,45.5877138098252,9,6,15
53a067639d877bfe105996a58bc1aa3a,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),-73.62978704273701,45.583197821913785,9,5,14
12d398be5955fed8787b107d04ba8cab,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),-73.56598667800426,45.51401222645779,0,0,0
a32e2261fca6732a8f47eec9fef69017,Parc Jeanne-Mance (du Mont-Royal / du Parc),-73.58910799026489,45.51689731423111,24,8,32
a67e0396bba583f00ecd34b107216da0,Léa-Roback / Sir-Georges-Etienne-Cartier,-73.5827162861824,45.472051276471305,21,12,33
26141dc97cf91e1003a500841cc56b6c,Parc Eusèbe-Ménard (Gouin / St-Vital),-73.64874824881554,45.59253950875074,11,6,17
f332a5c6e3f7fc73096885d6efc0f829,St-Hubert / de Maisonneuve (sud),-73.56008380651474,45.51586835126322,12,6,18
0243c740e1d4fe272e0c414cdd900c7d,CHSLD Joseph-François-Perrault (St-Michel / Everett),-73.60145956277847,45.55969734528566,10,8,18
19f1df34d9b117ae604c95591cf3e129,Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),-73.68184804916382,45.50682415585665,9,16,25
89d162743cad054bd805a6ecb643b13a,Parc Plage,-73.52753520011902,45.50265866521738,2,16,18
efe7c56e36749af8000e9ef4ee4fc883,Gare Montpellier (Muir / de la Côte-Vertu),-73.67169924080372,45.52374047147138,4,9,13
9ee74f8bb62f38529fa85da832fdfed4,Gare du Ruisseau (Dutrisac / Henri-Bourassa),-73.69254536926746,45.52814371649508,10,9,19
88de0ba474d1d950ec32feacb9c50d61,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),-73.67612421512604,45.512843286755896,0,17,17
5628b95a789420240f43c4f870c685de,CHSLD Robert Cliche (de Bellechasse / 16e avenue),-73.579191,45.557568,3,10,13
d5689456bbada11a02e0a17b675f2544,Parc Ottawa (de Belleville / Fleury),-73.6412434,45.58116,7,6,13
278e51e3bb2d95cf556a62edff8f95ec,Parc Nicolas-Tillemont (des Érables / Villeray),-73.61255215771962,45.55463653358596,7,11,18
b8e7cf74fce968d63f0aa677debeb6bd,Métro Viau (Viau / Pierre-de-Coubertin),-73.5481941328544,45.563084167155345,36,18,54
05b2ac429b1d77afa9c0d51ebaf1e9cf,Parc Armand-Bombardier (Perras / Armand-Bombardier),-73.5961118,45.6391233,8,7,15
700cf042fd8763ec6c702d94d5b6689b,Collège de Rosemont (Beaubien / 15e avenue),-73.58380123972893,45.55774990838239,4,21,25
4dfba1c78f4c98769c58749cb8f10472,McTavish / Sherbrooke,-73.57589408755302,45.50277615861811,0,43,43
93d7ed07d72db7e1ece88eb8b79a5ca6,de Bleury / de Maisonneuve,-73.56844156980515,45.507096455662456,13,8,21
014e10dba2d92bd20c826b88864dc6b6,de Maisonneuve / Aylmer (ouest),-73.5706517100334,45.505173440423306,30,5,35
82cc3be4d76f16ca475536a6e07461c5,Préfontaine / Marcel-Pépin,-73.55942063033581,45.54365380040509,4,15,19
aa392581e19d48cf19a168a0dfa88f4b,Métro Atwater (Atwater / Ste-Catherine),-73.5844581949641,45.48952522221574,5,28,33
6854cb59f24f653adfba864ecd063aa2,Hochelaga / de l'Assomption,-73.53943817317486,45.566883091095185,18,5,23
85ae63e650e620f403ad900a2f1659ac,Bassin olympique (Chemin du Chenal le Moyne),-73.52724552154541,45.5169025120042,9,7,16
ee6ad7e94cd47718c9f03d9248357f5c,Parc Wilfrid-Bastien (Lacordaire / des Galets),-73.5952181,45.5864002,7,12,19
0f8246e77098962beaa5e48211a7cff8,de Chambly / de Rouen,-73.54892447590828,45.54710313981358,3,7,10
91a138f95bde5c11382cfd13a0592bb2,BAnQ (Berri),-73.56291957199574,45.51601387670667,15,0,15
e71036c3bdeb0765305e4bb03bf53127,Parc Ernest-Rouleau (Gouin),-73.61631497740746,45.63131269772338,10,8,18
03b603c4b20174089f79116554c9c199,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),-73.62983867526054,45.49624140543275,3,19,22
13644fc87d5bae7c6738fba71a62d02c,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),-73.62283945083618,45.50398168549117,2,30,32
27064168fabfe462923c7d8fe7021aa6,Parc Honoré-Mercier (Notre-Dame / Liébert),-73.51035632193089,45.59275253568305,15,12,27
44adc0060274b501029d4c79042c349c,Keller / Cousineau,-73.7138856947422,45.52355020292929,6,6,12
5e4cc24a6bea5e106ac0ca40faaa7e69,Parc d'Antioche (Place d'Antioche / St-Zotique),-73.5596626996994,45.59566584124368,0,18,18
94ad6ee5b193f8c17b3fdfaa82b5edb0,Gare Lachine (Sir George Simpson / 48e avenue),-73.71091783046722,45.447821314280105,1,14,15
c8aba35f90d2eeada8a20ea7915c943a,de Gaspé / Marmier,-73.60166944563389,45.529668174024685,0,20,20
d396617f8d34e1100febd7cd446e790a,Grenet / Poirier,-73.69875401258469,45.51871924623225,1,14,15
