stationid,name,longitude,latitude ,free_bikes,empty_slots,total_bikes
ad7d9eea49ccec4ac431465d5b6bc8a4,John at Main,-79.86718028783798,43.254529435061336,4,9,13
8c7e7edf96c59d7ec1d5abb24432e779,Stadium,-79.83134329318999,43.25161474646046,1,31,32
43cf0e9fa1672920ce236fc613eee2e3,Osler at Main,-79.9342255404988,43.2572539435115,2,8,10
cda78e5631d14cf607d59cc92cc6d424,Main at Whitney,-79.93979036808014,43.25205234935895,2,8,10
972059c18777939b2148f40fab59bb18,Osler at Grant,-79.9426434441838,43.2595496051254,3,9,12
46899650a9b5b0cfe2542ac52e9b7bec,270 Sherman,-79.83437284827232,43.26044140942891,5,5,10
50abdb177272576170d43b46892d2761,Sanders at Binkley,-79.92979913949966,43.25875372772543,3,6,9
0688d3f9058eef55341330755b661c61,Whitney at Lower Horning,-79.9354198942367,43.2518522355378,12,0,12
0bf21f162a6d07a198f581d9993b28bf,James North at Mulberry,-79.86674308776855,43.26181945279216,10,9,19
0941a8cf2073bf2c25c874ee9caf762f,Frid at Main,-79.89262372255325,43.25940517059312,3,7,10
a6ddd4ae5ba3af0edfa38b589f9d884c,Gore Park,-79.86866354942322,43.256316859398744,1,14,15
ae7ac15e55165e3cb5978b0bf082e779,Stinson at West,-79.859726111821,43.2494985579078,8,4,12
6f4ab4aa1f8204cfd599a3d3c49b73fd,King William at Victoria,-79.85582381486893,43.254154362311304,5,5,10
3d77891b65e6ced980cc683365a7b4cf,Wentworth at King,-79.84910354018211,43.25199038416551,3,7,10
5ea66dfb7598a1a4659227f1a4698ba5,Cannon at Wentworth - 96,-79.8475054418754,43.2559617394464,6,1,7
352176e326772dbde256ff59c7e12df3,Haymarket at Hughson,-79.86883386969566,43.2523698048509,5,7,12
768268c35a08c86dc7a819108035253f,Bay at Macaulay,-79.86627101898192,43.272362258983364,4,6,10
eb652fc9347b78dbffc1e843889d9617,Rifle Range at Rail Trail,-79.9298771288198,43.2554850097816,4,12,16
9a4ae5211ff86fec59b59975ee988554,Hill Street Park,-79.88822355870525,43.25672417073905,4,5,9
bc184bae79ba5aec60f516aecd25bdde,Cannon at Ottawa,-79.8180502653122,43.2475653052787,5,7,12
fe1507c344d73062f43e013bdd6139a3,Seedworks,-79.86361294984816,43.25911119199103,3,4,7
e322c48bdbc2e5ad2e49c7296e26c237,Gage Park,-79.83040988445282,43.24344818701565,8,16,24
c080ee1bfa65cf18eb5b5d75c07f3b8e,Delaware at Myrtle,-79.8495236914621,43.2480454302898,5,7,12
24293855f2bcc6f090accfa582724fb9,Maplewood at Springer,-79.83708053827286,43.245150946389735,7,6,13
7b70b7a710103141733a20c8576088a7,Cannon at Birch (Powell Park),-79.84128892421722,43.25504613306136,2,10,12
dcef5763f35983322b325eff54e9b11c,Cannon at Sherman,-79.8374917817979,43.2533992835566,2,5,7
23a3650f250f263f047262bad48f9644,York at Macnab,-79.86919194459914,43.25901059433612,10,0,10
fcad722feba55f60aa8ef94f271d32bc,McMaster Stadium,-79.91868138313293,43.26462232214244,1,10,11
daa810a9a7ab64f657cbaa10b53791f9,Barton and Belview - ERI05,-79.82217215001583,43.252910500996364,3,6,9
75d70510a6ba5e0d9559620b06d7619f,Barton at Ottawa - ERI06,-79.81602117419243,43.25147804372769,5,2,7
151be2bf06833b79e5c91f2f3b11cc30,King at Mary,-79.86437804996967,43.25519606248058,0,7,7
188b072a8eb403dc6a462878fc7211c4,Cumberland at Blake ,-79.84050840139389,43.24333095563425,4,2,6
dfaa61d3929e4c18b049cce2086faa26,Main at Eastbourne,-79.84201848506926,43.24814116192469,6,6,12
25e0a23ac089f5c5d951f4b5f26cf224,Stinson at Blythe,-79.8550984051804,43.2480282225403,9,2,11
54ebd23b9e946b9644567796823f84ce,Wentworth Stairs,-79.85186353325844,43.24487936776345,4,10,14
13e403b7b912d5c16f24a962a0dbf8f5,Ferguson at King William,-79.8614431097373,43.2551792486624,2,8,10
bd95d2facb7bec4fd6c7c8928c941fb0,Ferguson at Cannon,-79.8598228455297,43.2587508364231,1,9,10
93546ca33ce7f41d06721fc2dac2781c,Victoria at Barton,-79.853318631649,43.26124519046125,1,9,10
4ec1cb16631106bd6374b5e61f694997,Mars at Wentworth - ERI01,-79.84364993870258,43.26534015820083,1,8,9
2c606a0f03e6e18f7c8684578b678158,Sherman at Barton - ERI02,-79.83628392219543,43.25632467316046,5,4,9
bae67560f54ae320890f86793feab2d8,Barton at Lottridge - ERI03,-79.83144521713257,43.2552894386678,4,4,8
5e74f539b1fb571988571329de31f701,Corktown Park,-79.8641461491451,43.2492552510953,6,6,12
f144a0bfeea43251601ea8efa4b701d2,Hunter at Ferguson,-79.86318781971931,43.251798383773966,5,5,10
3ab949422c920dc79e8d0ea8285b4a37,Athletic Centre Bike Racks,-79.91574570536613,43.26471509784132,23,0,23
68f2383d1d34f444f2ef3316e45a5213,Main and Wellington,-79.86008584499359,43.25281814686537,5,1,6
c512b0e491d052fc9310f9c8be815f64,McMaster Student Centre,-79.91714715957642,43.26274333966465,1,28,29
14c32cb0c4d26dae668d1d678a26faea,George Street,-79.87894982099533,43.25851444036409,7,4,11
c824ff91faa08b19bccf9c3b319d72b4,Hughson at Picton,-79.861626657542,43.2701169222876,5,7,12
5088fc5d00df487772ad583eb8e624e3,Discovery Drive,-79.86029773950577,43.27606684636728,1,24,25
2c203c07422c6b0dfe9e68116024c731,Ainslie at Emerson,-79.9234422627427,43.2495181157076,5,6,11
65872d259b31afa6bb291e400fc341ed,Catharine at Young,-79.8677950761702,43.2496648107707,6,6,12
2228951df269e1d040aa50f80fa9273a,Main at Macnab,-79.87145036458969,43.25586951986928,5,7,12
1afd7103a60b1e2bb5e0379e8f800b1d,Eastwood Arena,-79.856711442486,43.271621271914,5,8,13
653bff9f015f88cae68325be472e66ed,Hunter at Park,-79.8733946157064,43.2543192007999,7,3,10
f21694c5cfd4706f5de302501e25eff7,Aberdeen at Studholme,-79.899692892407,43.2526283084979,5,7,12
e9ee34d7278cd4fa2d45075b69e268e6,Ferguson at Barton,-79.8582423171631,43.262056982995,1,5,6
1776c0041555f53313a211a978b2d3a9,Ferrie at Furguson,-79.85489845275879,43.266617945064255,2,4,6
696ab18067b721e64c19bdb6b88f3616,Belview at Cannon - ERI12,-79.82342541217804,43.248928499066146,5,4,9
896848902df81ae7fbfae1ae9d5d7731,Tisdale at Main,-79.85307991504669,43.25191559879094,4,6,10
05fffdca01b4d886a823b025b6a04080,Maple at Rothsay - ERI08,-79.8250025510788,43.24216273334376,3,6,9
84c14c7002abf4ab9edea8287a7996ac,Queen at George,-79.8793575167656,43.25812181171754,0,6,6
0265404843dccbf9378ce9d56a570914,Augusta at John,-79.86898005008698,43.251632328780424,4,5,9
495b82d6d2d3251eaa6efe8c7e9ff3fc,Ottawa at Dunsmure - ERI07,-79.81923043727875,43.2444465978823,4,5,9
