category,latitude,longitude,POI,station
park,43.259125842121065,-79.87721174955368,Gore Park,0
park,43.259125842121065,-79.87721174955368,City Hall Parkette,0
park,43.259125842121065,-79.87721174955368,Chedoke park,0
park,43.259125842121065,-79.87721174955368,HAAA Park,0
park,43.259125842121065,-79.87721174955368,Gore Park Promenade,0
park,43.259125842121065,-79.87721174955368,HAAA Grounds,0
park,43.259125842121065,-79.87721174955368,Premier Fitness Parking Lot,0
park,43.259125842121065,-79.87721174955368,The George Hamilton,0
park,43.259125842121065,-79.87721174955368,Lulu's Shawarma,0
park,43.259125842121065,-79.87721174955368,York Boulevard Parkade,0
restaurant,43.259125842121065,-79.87721174955368,Coop Hamilton,0
restaurant,43.259125842121065,-79.87721174955368,Coop Wicked Chicken Hamilton,0
restaurant,43.259125842121065,-79.87721174955368,La Luna Restaurant Downtown,0
restaurant,43.259125842121065,-79.87721174955368,Bastoni's Shawarma & Grill,0
restaurant,43.259125842121065,-79.87721174955368,Smoke's Poutinerie,0
restaurant,43.259125842121065,-79.87721174955368,Vida la Pita,0
restaurant,43.259125842121065,-79.87721174955368,Papagayo,0
restaurant,43.259125842121065,-79.87721174955368,The George Hamilton,0
restaurant,43.259125842121065,-79.87721174955368,The Moghul's,0
restaurant,43.259125842121065,-79.87721174955368,Island Carribbean Takeout & Catering,0
park,43.26928827622911,-79.87132698297499,Bayfront Park,1
park,43.26928827622911,-79.87132698297499,Pier 4 Park,1
park,43.26928827622911,-79.87132698297499,Benetto Community Centre,1
park,43.26928827622911,-79.87132698297499,Synonym,1
park,43.26928827622911,-79.87132698297499,Premier Fitness Parking Lot,1
park,43.26928827622911,-79.87132698297499,The Tug Boat,1
park,43.26928827622911,-79.87132698297499,St Mary's Church,1
park,43.26928827622911,-79.87132698297499,Bennetto Recreation Ctr,1
park,43.26928827622911,-79.87132698297499,Stonewalls,1
park,43.26928827622911,-79.87132698297499,Bayfront Park Beach Area,1
restaurant,43.26928827622911,-79.87132698297499,Harbour Diner,1
restaurant,43.26928827622911,-79.87132698297499,Fisher's Pier 4 Pub & Grub,1
restaurant,43.26928827622911,-79.87132698297499,Saltlick Smokehouse,1
restaurant,43.26928827622911,-79.87132698297499,Charred,1
restaurant,43.26928827622911,-79.87132698297499,Mulberry Street Coffeehouse,1
restaurant,43.26928827622911,-79.87132698297499,Bonanza Bakery,1
restaurant,43.26928827622911,-79.87132698297499,Ola Bakery & Pastries,1
restaurant,43.26928827622911,-79.87132698297499,Born and Raised,1
restaurant,43.26928827622911,-79.87132698297499,Hutch's Harbour Front,1
restaurant,43.26928827622911,-79.87132698297499,Mesa,1
park,43.26785864558976,-79.8679232597351,Bayfront Park,2
park,43.26785864558976,-79.8679232597351,Pier 4 Park,2
park,43.26785864558976,-79.8679232597351,Benetto Community Centre,2
park,43.26785864558976,-79.8679232597351,McLaren Park,2
park,43.26785864558976,-79.8679232597351,Synonym,2
park,43.26785864558976,-79.8679232597351,Premier Fitness Parking Lot,2
park,43.26785864558976,-79.8679232597351,St Mary's Church,2
park,43.26785864558976,-79.8679232597351,Bennetto Recreation Ctr,2
park,43.26785864558976,-79.8679232597351,The Tug Boat,2
park,43.26785864558976,-79.8679232597351,Architect Hair Design,2
restaurant,43.26785864558976,-79.8679232597351,Harbour Diner,2
restaurant,43.26785864558976,-79.8679232597351,Saltlick Smokehouse,2
restaurant,43.26785864558976,-79.8679232597351,Charred,2
restaurant,43.26785864558976,-79.8679232597351,Hutch's Harbour Front,2
restaurant,43.26785864558976,-79.8679232597351,Fisher's Pier 4 Pub & Grub,2
restaurant,43.26785864558976,-79.8679232597351,Mulberry Street Coffeehouse,2
restaurant,43.26785864558976,-79.8679232597351,Bonanza Bakery,2
restaurant,43.26785864558976,-79.8679232597351,Ola Bakery & Pastries,2
restaurant,43.26785864558976,-79.8679232597351,Born and Raised,2
restaurant,43.26785864558976,-79.8679232597351,Mesa,2
